Date,INFY_Close,INFY_Volume,WIPRO_Close,WIPRO_Volume,HCLTECH_Close,HCLTECH_Volume,TCS_Close,TCS_Volume,INFY_Return,WIPRO_Return,HCLTECH_Return,TCS_Return,Tech_Sector_Return,INFY_Cumulative,WIPRO_Cumulative,HCLTECH_Cumulative,TCS_Cumulative,Tech_Sector_Cumulative,INFY_Volatility,WIPRO_Volatility,HCLTECH_Volatility,TCS_Volatility,Tech_Sector_Volatility,Tech_Sector_Volume
2020-10-20,1137.5,10448852,346.75,16996774,879.65,21564064,2739.0,3406298,0.010302868816058242,0.010343822843822847,0.04131399822432669,0.010123361177186485,0.018021012765348565,0.741018207875966,0.6135539237370562,2.763587810241895,2.772407510501541,3.0550171597003453,0.2362954256556359,0.34017274672780334,0.3598026509865114,0.29560562873314444,0.25578803659340665,13103997.0
2020-10-21,1148.35,19811809,343.45,9967721,871.05,11162084,2675.4,4570175,0.009538461538461496,-0.009516943042537918,-0.009776615699425895,-0.023220153340635208,-0.008243812636034381,0.7480863815510905,0.607714765991325,2.736569274269542,2.7080317829849663,3.0298321706359057,0.23534830382807936,0.33874699914745404,0.35999141767817466,0.286872915152968,0.2528713368563942,11377947.25
2020-10-22,1129.05,11271538,344.45,9541284,866.25,9607800,2671.15,5262311,-0.01680672268907557,0.0029116319697191084,-0.005510590666436999,-0.0015885475069148391,-0.005248557223177075,0.7355135011888874,0.6094842077324557,2.721489161168694,2.7037299458474595,3.0139299231117005,0.23758084152988157,0.33873377629846046,0.3554489584562528,0.28477283815039695,0.2517955740735618,8920733.25
2020-10-23,1122.5,9070121,342.4,8673514,852.45,5447502,2686.8,3499372,-0.005801337407554952,-0.005951516911017585,-0.015930735930735906,0.005858899724837663,-0.005456172631117695,0.7312465392006786,0.6058568521631379,2.6781338360037554,2.7195708284832207,2.997485401153112,0.23803562886249943,0.3362384641656662,0.3577464223730618,0.2848264665171885,0.2521535924787504,6672627.25
2020-10-26,1112.45,6309643,339.8,8695206,847.8,6614014,2688.2,2672766,-0.008953229398663609,-0.007593457943925186,-0.005454865387999441,0.0005210659520618055,-0.005370121694631608,0.7246995211882361,0.6012563036361982,2.6635249764373086,2.7209879042461638,2.981388539771038,0.23918489056930958,0.3356741150724833,0.35755973834035987,0.28483686933058616,0.25274995791138977,6072907.25
2020-10-27,1090.85,10172530,334.05,9910942,847.25,5807905,2630.15,3537594,-0.019416602993393095,-0.016921718658034157,-0.0006487379098844004,-0.021594375418495515,-0.014645358744951792,0.7106283182958221,0.5910820136246969,2.6617970468111696,2.6622298699326867,2.937725035048003,0.2421655891053129,0.33824115538779387,0.35762305249265314,0.2876567690069673,0.25487992946458526,7357242.75
2020-10-28,1076.55,7608413,335.65,8984606,829.6,6853043,2622.2,3569515,-0.013109043406517862,0.004789702140397978,-0.020832103865446983,-0.0030226412942229164,-0.008043521606447446,0.7013126608253814,0.5939131204105059,2.6063462142632594,2.6541829039931146,2.914095380254793,0.2434271804195346,0.33810660118731994,0.3581724659223952,0.2877380837300234,0.2549784528549075,6753894.25
2020-10-29,1074.85,6935804,337.45,7239961,840.05,6691023,2632.65,3105970,-0.0015791184803307656,0.005362729033219216,0.012596432015429038,0.0039852032644345226,0.005091311458188003,0.7002052050421821,0.5970981155445412,2.6391768771598976,2.6647603623665144,2.9289319474545374,0.24304004397712886,0.3369879612572866,0.35813191947563455,0.28773006068042983,0.25457689122591076,5993189.5
2020-10-30,1060.6,8800436,340.7,11496123,841.95,8727295,2664.85,3427003,-0.013257663860073543,0.009631056452807929,0.002261770132730323,0.012231021974056455,0.002716546174880291,0.690922119800659,0.6028488012032159,2.6451460885956504,2.697353104914214,2.93688852633288,0.23920819337467136,0.33720868213524174,0.35560454419857,0.285762495610258,0.25221649664501256,8112714.25
2020-11-02,1072.3,7183119,334.8,4831133,822.4,5953172,2604.6,2571196,0.011031491608523458,-0.017317287936601033,-0.0232199061702002,-0.022609152485130513,-0.013028713745852072,0.6985440213673831,0.592409094930545,2.5837260446119874,2.636368237258968,2.8986246464198118,0.23545241984394022,0.33909652651675426,0.35636131231512475,0.2899403881130063,0.2520314091544557,5134655.0
